,strain,strain,species,genus,family,order,class,phylum,superkingdom,species group,clade,no rank,subspecies,serotype,subphylum,subkingdom,kingdom,serogroup,species subgroup,subgenus,subclass
Escherichia coli CMCC 44102,Escherichia coli CMCC 44102,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Staphylococcus aureus TISTR 517,Staphylococcus aureus TISTR 517,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Bordetella bronchiseptica CUN 11844-99,Bordetella bronchiseptica CUN 11844-99,Bordetella pertussis 2356847,Bordetella pertussis,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Pseudomonas aeruginosa CUN 4158-02,Pseudomonas aeruginosa CUN 4158-02,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Staphylococcus aureus CUN 3792-99,Staphylococcus aureus CUN 3792-99,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Escherichia coli E423-17,Escherichia coli E423-17,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Enterobacter sp.,Enterobacter sp.,Phytobacter massiliensis JC163,Phytobacter massiliensis,Phytobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Staphylococcus aureus DSM 11729,Staphylococcus aureus DSM 11729,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Bacillus subtilis PY79,Bacillus subtilis PY79,Bacillus subtilis PY79,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,Bacillus subtilis group,Terrabacteria group,,,,,,,,,,
Lactiplantibacillus plantarum 8014,Lactiplantibacillus plantarum 8014,,Lactiplantibacillus plantarum,Lactiplantibacillus,Lactobacillaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Lacticaseibacillus rhamnosus 1.0385,Lacticaseibacillus rhamnosus 1.0385,,Lacticaseibacillus rhamnosus,Lacticaseibacillus,Lactobacillaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Lacticaseibacillus rhamnosus 1.0911,Lacticaseibacillus rhamnosus 1.0911,,Lacticaseibacillus rhamnosus,Lacticaseibacillus,Lactobacillaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Streptococcus pyogenes M1T1 5448,Streptococcus pyogenes M1T1 5448,Streptococcus pyogenes serotype M6 (strain ATCC BAA-946 / MGAS10394),Streptococcus pyogenes,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,Streptococcus pyogenes serotype M6,,,,,,,
Staphylococcus xylosus DSM 20267,Staphylococcus xylosus DSM 20267,,Staphylococcus xylosus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Streptococcus agalactiae BNCC 185941,Streptococcus agalactiae BNCC 185941,Streptococcus agalactiae (strain ATCC 13813 / DSM 2134 / JCM 5671 / CCUG 4208 / LMG 14694 / NCIMB 701348 / NCTC 8181 / G19),Streptococcus agalactiae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Lacticaseibacillus rhamnosus 8014,Lacticaseibacillus rhamnosus 8014,,Lacticaseibacillus rhamnosus,Lacticaseibacillus,Lactobacillaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Lacticaseibacillus rhamnosus 1.0936,Lacticaseibacillus rhamnosus 1.0936,,Lacticaseibacillus rhamnosus,Lacticaseibacillus,Lactobacillaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Lacticaseibacillus rhamnosus 1.9021,Lacticaseibacillus rhamnosus 1.9021,,Lacticaseibacillus rhamnosus,Lacticaseibacillus,Lactobacillaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Salmonella enterica subsp. enterica serovar Choleraesuis CMCC 50020,Salmonella enterica subsp. enterica serovar Choleraesuis CMCC 50020,,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella muenchen,Salmonella enterica I,,,,,,,,
Salmonella typhimurium CMCC 50013,Salmonella typhimurium CMCC 50013,Salmonella enterica subsp. enterica serovar Typhimurium str. DT104,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella typhimurium,Salmonella enterica I,,,,,,,,
Corynebacterium glutamicum ATCC 13032,Corynebacterium glutamicum ATCC 13032,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / BCRC 11384 / CCUG 27702 / LMG 3730 / NBRC 12168 / NCIMB 10025 / NRRL B-2784 / 534),Corynebacterium glutamicum,Corynebacterium,Corynebacteriaceae,Mycobacteriales,Actinomycetes,Actinomycetota,Bacteria,,Terrabacteria group,,,,,,,,,,
Acinetobacter baumannii ATCC BAA-1794,Acinetobacter baumannii ATCC BAA-1794,Acinetobacter baumannii (strain ACICU),Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,
Escherichia coli ATCC 4157,Escherichia coli ATCC 4157,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Escherichia coli ATCC 51659,Escherichia coli ATCC 51659,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Klebsiella pneumoniae KCTC 2208,Klebsiella pneumoniae KCTC 2208,Klebsiella pneumoniae (strain 342),Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Candida parapsilosis ATCC 22019,Candida parapsilosis ATCC 22019,,Candida parapsilosis,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Eukaryota,,Opisthokonta,,,,Saccharomycotina,Dikarya,Fungi,,,,
Candida albicans ATCC 14053,Candida albicans ATCC 14053,Candida albicans (strain SC5314 / ATCC MYA-2876),Candida albicans,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Eukaryota,,Opisthokonta,,,,Saccharomycotina,Dikarya,Fungi,,,,
Acinetobacter baumannii Ab5753,Acinetobacter baumannii Ab5753,Acinetobacter baumannii (strain ACICU),Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,
Escherichia coli Ec513,Escherichia coli Ec513,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Pseudomonas aeruginosa Pa1409,Pseudomonas aeruginosa Pa1409,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Staphylococcus aureus Sa1390,Staphylococcus aureus Sa1390,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Micrococcus luteus ATCC 49732,Micrococcus luteus ATCC 49732,Micrococcus luteus (strain ATCC 4698 / DSM 20030 / JCM 1464 / CCM 169 / CCUG 5858 / IAM 1056 / NBRC 3333 / NCIMB 9278 / NCTC 2665 / VKM Ac-2230),Micrococcus luteus,Micrococcus,Micrococcaceae,Micrococcales,Actinomycetes,Actinomycetota,Bacteria,,Terrabacteria group,,,,,,,,,,
Streptococcus agalactiae ATCC 12386,Streptococcus agalactiae ATCC 12386,Streptococcus agalactiae (strain ATCC 13813 / DSM 2134 / JCM 5671 / CCUG 4208 / LMG 14694 / NCIMB 701348 / NCTC 8181 / G19),Streptococcus agalactiae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Escherichia coli TOP 10,Escherichia coli TOP 10,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Serratia marcescens,Serratia marcescens,Serratia marcescens subsp. marcescens ATCC 13880,Serratia marcescens,Serratia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Staphylococcus epidermidis DSM 1798,Staphylococcus epidermidis DSM 1798,Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A),Staphylococcus epidermidis,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Mycobacterium tuberculosis WXY,Mycobacterium tuberculosis WXY,Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra),Mycobacterium tuberculosis,Mycobacterium,Mycobacteriaceae,Mycobacteriales,Actinomycetes,Actinomycetota,Bacteria,Mycobacterium tuberculosis complex,Terrabacteria group,,,,,,,,,,
Mycobacterium tuberculosis CAS3,Mycobacterium tuberculosis CAS3,Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra),Mycobacterium tuberculosis,Mycobacterium,Mycobacteriaceae,Mycobacteriales,Actinomycetes,Actinomycetota,Bacteria,Mycobacterium tuberculosis complex,Terrabacteria group,,,,,,,,,,
Candida albicans CGMCC 2.2411,Candida albicans CGMCC 2.2411,Candida albicans (strain SC5314 / ATCC MYA-2876),Candida albicans,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Eukaryota,,Opisthokonta,,,,Saccharomycotina,Dikarya,Fungi,,,,
Enterobacter cloacae NHTCC 53001,Enterobacter cloacae NHTCC 53001,Enterobacter hormaechei subsp. hoffmannii ECR091,Enterobacter hormaechei,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,Enterobacter cloacae complex,,,Enterobacter hormaechei subsp. hoffmannii,,,,,,,,
Lacticaseibacillus rhamnosus 7469,Lacticaseibacillus rhamnosus 7469,,Lacticaseibacillus rhamnosus,Lacticaseibacillus,Lactobacillaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Bacillus anthracis,Bacillus anthracis,Bacillus anthracis str. Ames,Bacillus anthracis,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,Bacillus cereus group,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus ATCC 29737,Staphylococcus aureus ATCC 29737,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Escherichia coli MC1041,Escherichia coli MC1041,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Escherichia coli JJ2489,Escherichia coli JJ2489,Escherichia coli JJ2489,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Escherichia coli JW0368 del-sbmA,Escherichia coli JW0368 del-sbmA,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Escherichia coli JW2778 del-ygdD,Escherichia coli JW2778 del-ygdD,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Escherichia coli KCTC 1682,Escherichia coli KCTC 1682,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Pseudomonas aeruginosa KCTC 1637,Pseudomonas aeruginosa KCTC 1637,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Bacillus subtilis KCTC 3068,Bacillus subtilis KCTC 3068,Bacillus subtilis (strain 168),Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,Bacillus subtilis group,Terrabacteria group,,Bacillus subtilis subsp. subtilis,,,,,,,,
Enterococcus faecalis KCTC 2011,Enterococcus faecalis KCTC 2011,Enterococcus faecalis EnGen0207,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus KCTC 1621,Staphylococcus aureus KCTC 1621,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Salmonella typhimurium CCARM 8009,Salmonella typhimurium CCARM 8009,Salmonella enterica subsp. enterica serovar Typhimurium str. DT104,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella typhimurium,Salmonella enterica I,,,,,,,,
Pseudomonas aeruginosa CCARM 2095,Pseudomonas aeruginosa CCARM 2095,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Acinetobacter baumannii CCARM 12035,Acinetobacter baumannii CCARM 12035,Acinetobacter baumannii (strain ACICU),Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,
Bacillus megaterium,Bacillus megaterium,Priestia megaterium (strain DSM 319 / IMG 1521),Priestia megaterium,Priestia,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Pseudomonas aeruginosa 9,Pseudomonas aeruginosa 9,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Pseudomonas aeruginosa 198,Pseudomonas aeruginosa 198,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Pseudomonas aeruginosa H1030,Pseudomonas aeruginosa H1030,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Pseudomonas aeruginosa H1027,Pseudomonas aeruginosa H1027,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Enterobacter cloacae 218R,Enterobacter cloacae 218R,Enterobacter hormaechei subsp. hoffmannii ECR091,Enterobacter hormaechei,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,Enterobacter cloacae complex,,,Enterobacter hormaechei subsp. hoffmannii,,,,,,,,
Escherichia coli ESBL 64771,Escherichia coli ESBL 64771,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Klebsiella pneumoniae ESBL 61962,Klebsiella pneumoniae ESBL 61962,Klebsiella pneumoniae (strain 342),Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Klebsiella pneumoniae ESBL 63575,Klebsiella pneumoniae ESBL 63575,Klebsiella pneumoniae (strain 342),Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Enterococcus faecalis W61950,Enterococcus faecalis W61950,Enterococcus faecalis EnGen0207,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Enterococcus faecalis f43559,Enterococcus faecalis f43559,Enterococcus faecalis EnGen0207,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Enterococcus faecium t62764,Enterococcus faecium t62764,,Enterococcus sp. EnGen0037,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,unclassified Enterococcus,,,,,,,,,
Staphylococcus saprophyticus,Staphylococcus saprophyticus,Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41),Staphylococcus saprophyticus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Streptococcus agalactiae CICC 10465,Streptococcus agalactiae CICC 10465,Streptococcus agalactiae (strain ATCC 13813 / DSM 2134 / JCM 5671 / CCUG 4208 / LMG 14694 / NCIMB 701348 / NCTC 8181 / G19),Streptococcus agalactiae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Streptococcus thermophilus YM-C,Streptococcus thermophilus YM-C,Streptococcus thermophilus (strain CNRZ 1066),Streptococcus thermophilus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Salmonella enterica subsp. enterica serovar Pullorum ATCC 7913,Salmonella enterica subsp. enterica serovar Pullorum ATCC 7913,,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella muenchen,Salmonella enterica I,,,,,,,,
Mannheimia haemolytica Serovar 1,Mannheimia haemolytica Serovar 1,Mannheimia haemolytica PHL213,Mannheimia haemolytica,Mannheimia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Mannheimia haemolytica Serovar 2,Mannheimia haemolytica Serovar 2,Mannheimia haemolytica PHL213,Mannheimia haemolytica,Mannheimia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Mannheimia haemolytica Serovar 6,Mannheimia haemolytica Serovar 6,Mannheimia haemolytica PHL213,Mannheimia haemolytica,Mannheimia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Bibersteinia trehalosi,Bibersteinia trehalosi,Bibersteinia trehalosi USDA-ARS-USMARC-192,Bibersteinia trehalosi,Bibersteinia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Salmonella enterica subsp. arizonae,Salmonella enterica subsp. arizonae,,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,Salmonella enterica subsp. arizonae,,,,,,,,
Corynebacterium pseudotuberculosis ATCC 19410,Corynebacterium pseudotuberculosis ATCC 19410,,Corynebacterium pseudotuberculosis,Corynebacterium,Corynebacteriaceae,Mycobacteriales,Actinomycetes,Actinomycetota,Bacteria,,Terrabacteria group,,,,,,,,,,
Aspergillus fumigatus,Aspergillus fumigatus,Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293),Aspergillus fumigatus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Eukaryota,,Opisthokonta,,,,Pezizomycotina,Dikarya,Fungi,,,Aspergillus subgen. Fumigati,Eurotiomycetidae
Escherichia coli KPC 001812446,Escherichia coli KPC 001812446,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Bacillus cereus ATCC 14579,Bacillus cereus ATCC 14579,Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711),Bacillus cereus,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,Bacillus cereus group,Terrabacteria group,,,,,,,,,,
Pectobacterium carotovorum,Pectobacterium carotovorum,Pectobacterium carotovorum subsp. carotovorum (strain PC1),Pectobacterium carotovorum,Pectobacterium,Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,Pectobacterium carotovorum subsp. carotovorum,,,,,,,,
Pseudomonas syringae pv. tabaci,Pseudomonas syringae pv. tabaci,,Pseudomonas amygdali,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas syringae group,,Pseudomonas amygdali pv. tabaci,,,,,,,Pseudomonas syringae group genomosp. 2,,
Xanthomonas campestris pv. citri,Xanthomonas campestris pv. citri,,Xanthomonas citri,Xanthomonas,Lysobacteraceae,Lysobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,Xanthomonas citri group,,Xanthomonas citri pv. bilvae,,,,,,,,,
Salmonella enterica subsp. enterica serovar Paratyphi B CICC 21495,Salmonella enterica subsp. enterica serovar Paratyphi B CICC 21495,,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella muenchen,Salmonella enterica I,,,,,,,,
Salmonella enterica subsp. enterica serovar Paratyphi C CICC 21512,Salmonella enterica subsp. enterica serovar Paratyphi C CICC 21512,,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella muenchen,Salmonella enterica I,,,,,,,,
Salmonella enterica subsp. enterica serovar Choleraesuis ATCC 13312,Salmonella enterica subsp. enterica serovar Choleraesuis ATCC 13312,,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella muenchen,Salmonella enterica I,,,,,,,,
Salmonella enterica subsp. enterica serovar Enteritidis CICC 21527,Salmonella enterica subsp. enterica serovar Enteritidis CICC 21527,,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella muenchen,Salmonella enterica I,,,,,,,,
Salmonella enterica subsp. enterica serovar Typhimurium ATCC 700408,Salmonella enterica subsp. enterica serovar Typhimurium ATCC 700408,,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella muenchen,Salmonella enterica I,,,,,,,,
Escherichia coli ATCC 25922 del-waaC,Escherichia coli ATCC 25922 del-waaC,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Escherichia coli ATCC 25922 del-waaE,Escherichia coli ATCC 25922 del-waaE,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Escherichia coli ATCC 25922 del-waaF,Escherichia coli ATCC 25922 del-waaF,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Escherichia coli ATCC 25922 del-waaG,Escherichia coli ATCC 25922 del-waaG,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Pseudomonas aeruginosa ATCC 27583,Pseudomonas aeruginosa ATCC 27583,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Staphylococcus aureus ATCC 2592,Staphylococcus aureus ATCC 2592,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus haemolyticus,Staphylococcus haemolyticus,Staphylococcus haemolyticus (strain JCSC1435),Staphylococcus haemolyticus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Salmonella enterica,Salmonella enterica,,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella muenchen,Salmonella enterica I,,,,,,,,
Klebsiella aerogenes,Klebsiella aerogenes,,Klebsiella aerogenes,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Brucella abortus 9.49 (per-),Brucella abortus 9.49 (per-),,Brucella abortus,Brucella,Brucellaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,Bacteria,,,Brucella/Ochrobactrum group,,,,,,,,,
